credit_id,status,changed_at
1,New,2025-06-03 16:22:24.939185
1,InReview,2025-06-04 23:22:24.939185
1,Cancelled,2025-09-03 16:22:24.939185
2,New,2024-12-21 16:49:42.566296
2,InReview,2024-12-23 03:49:42.566296
2,Approved,2024-12-28 16:49:42.566296
2,Deposit,2025-03-07 16:49:42.566296
3,New,2025-01-03 00:56:41.472197
3,InReview,2025-01-04 07:56:41.472197
3,Approved,2025-01-06 00:56:41.472197
3,Deposit,2025-05-10 00:56:41.472197
4,New,2024-01-29 15:58:19.015218
4,InReview,2024-01-31 01:58:19.015218
4,Approved,2024-02-07 15:58:19.015218
4,Paid,2024-05-28 15:58:19.015218
5,New,2024-08-08 03:24:43.329912
5,InReview,2024-08-08 12:24:43.329912
5,Approved,2024-08-12 03:24:43.329912
5,Deposit,2024-12-20 03:24:43.329912
6,New,2025-06-19 22:16:31.854517
6,InReview,2025-06-20 23:16:31.854517
6,Approved,2025-06-26 22:16:31.854517
6,Paid,2025-09-26 22:16:31.854517
7,New,2023-12-31 07:31:32.960639
7,InReview,2024-01-01 08:31:32.960639
7,Approved,2024-01-05 07:31:32.960639
7,Cancelled,2024-04-11 07:31:32.960639
8,New,2024-09-05 15:10:18.681785
8,InReview,2024-09-06 07:10:18.681785
8,Approved,2024-09-14 15:10:18.681785
8,Paid,2024-11-08 15:10:18.681785
9,New,2025-04-12 22:45:16.154597
9,InReview,2025-04-14 19:45:16.154597
9,Approved,2025-04-20 22:45:16.154597
9,Paid,2025-07-31 22:45:16.154597
10,New,2024-10-18 05:11:17.540950
10,InReview,2024-10-20 05:11:17.540950
10,Approved,2024-10-25 05:11:17.540950
10,Paid,2025-01-22 05:11:17.540950
11,New,2024-08-21 19:07:40.377483
11,InReview,2024-08-23 02:07:40.377483
11,Approved,2024-08-27 19:07:40.377483
11,Paid,2024-12-07 19:07:40.377483
12,New,2025-08-20 18:22:30.459384
12,InReview,2025-08-21 14:22:30.459384
12,Approved,2025-08-25 18:22:30.459384
12,Paid,2025-11-24 18:22:30.459384
13,New,2024-10-13 14:23:00.305190
13,InReview,2024-10-14 06:23:00.305190
13,Approved,2024-10-16 14:23:00.305190
13,Deposit,2025-02-26 14:23:00.305190
14,New,2024-08-02 04:27:22.244100
14,InReview,2024-08-02 14:27:22.244100
14,Approved,2024-08-07 04:27:22.244100
14,Paid,2024-11-12 04:27:22.244100
15,New,2024-11-22 00:30:41.790924
15,InReview,2024-11-22 12:30:41.790924
15,Approved,2024-12-01 00:30:41.790924
15,Paid,2025-01-18 00:30:41.790924
16,New,2025-06-26 01:59:36.284743
16,InReview,2025-06-26 11:59:36.284743
16,Approved,2025-07-04 01:59:36.284743
16,Paid,2025-10-20 01:59:36.284743
17,New,2024-01-05 19:07:32.219901
17,InReview,2024-01-06 02:07:32.219901
17,Approved,2024-01-08 19:07:32.219901
17,Paid,2024-03-13 19:07:32.219901
18,New,2024-07-02 17:42:13.927813
18,InReview,2024-07-03 01:42:13.927813
18,Approved,2024-07-10 17:42:13.927813
18,Paid,2024-10-19 17:42:13.927813
19,New,2024-11-10 21:28:43.144472
19,InReview,2024-11-11 06:28:43.144472
19,Approved,2024-11-15 21:28:43.144472
19,Deposit,2025-04-02 21:28:43.144472
20,New,2024-08-17 06:26:35.282554
20,InReview,2024-08-18 00:26:35.282554
20,Approved,2024-08-27 06:26:35.282554
20,Cancelled,2024-12-02 06:26:35.282554
21,New,2024-08-26 16:36:06.131820
21,InReview,2024-08-27 23:36:06.131820
21,Approved,2024-09-05 16:36:06.131820
21,Deposit,2024-12-15 16:36:06.131820
22,New,2024-08-10 01:53:17.801265
22,InReview,2024-08-11 21:53:17.801265
22,Approved,2024-08-14 01:53:17.801265
22,Paid,2024-12-03 01:53:17.801265
23,New,2024-11-09 09:11:39.646101
23,InReview,2024-11-09 23:11:39.646101
23,Approved,2024-11-11 09:11:39.646101
23,Paid,2025-02-12 09:11:39.646101
24,New,2025-02-06 16:17:19.597127
24,InReview,2025-02-07 14:17:19.597127
24,Approved,2025-02-10 16:17:19.597127
24,Paid,2025-04-07 16:17:19.597127
25,New,2024-08-27 17:05:49.711905
25,InReview,2024-08-29 13:05:49.711905
25,Approved,2024-09-01 17:05:49.711905
25,Paid,2024-12-16 17:05:49.711905
26,New,2024-06-05 09:58:47.839861
26,InReview,2024-06-07 06:58:47.839861
26,Approved,2024-06-09 09:58:47.839861
26,Paid,2024-08-25 09:58:47.839861
27,New,2024-12-27 22:55:30.331735
27,InReview,2024-12-29 16:55:30.331735
27,Approved,2025-01-01 22:55:30.331735
27,Paid,2025-02-27 22:55:30.331735
28,New,2024-12-21 19:37:41.877040
28,InReview,2024-12-23 19:37:41.877040
28,Approved,2024-12-26 19:37:41.877040
28,Paid,2025-04-02 19:37:41.877040
29,New,2024-06-20 13:21:37.967972
29,InReview,2024-06-20 19:21:37.967972
29,Approved,2024-06-30 13:21:37.967972
29,Deposit,2024-08-15 13:21:37.967972
30,New,2024-04-09 09:55:20.863055
30,InReview,2024-04-11 08:55:20.863055
30,Approved,2024-04-13 09:55:20.863055
30,Cancelled,2024-06-14 09:55:20.863055
31,New,2025-02-05 05:44:33.726196
31,InReview,2025-02-05 20:44:33.726196
31,Approved,2025-02-06 05:44:33.726196
31,Cancelled,2025-05-04 05:44:33.726196
32,New,2025-07-19 13:24:19.096465
32,InReview,2025-07-21 09:24:19.096465
32,Approved,2025-07-26 13:24:19.096465
32,Paid,2025-11-06 13:24:19.096465
33,New,2025-01-31 21:29:11.801702
33,InReview,2025-02-02 19:29:11.801702
33,Approved,2025-02-06 21:29:11.801702
33,Paid,2025-05-09 21:29:11.801702
34,New,2024-09-02 12:06:47.175349
34,InReview,2024-09-04 03:06:47.175349
34,Cancelled,2024-11-22 12:06:47.175349
35,New,2025-03-26 05:56:22.488771
35,InReview,2025-03-27 10:56:22.488771
35,Approved,2025-03-28 05:56:22.488771
35,Paid,2025-06-30 05:56:22.488771
36,New,2024-01-29 05:06:38.425720
36,InReview,2024-01-29 12:06:38.425720
36,Approved,2024-02-05 05:06:38.425720
36,Deposit,2024-05-24 05:06:38.425720
37,New,2024-08-29 05:00:45.821013
37,InReview,2024-08-29 22:00:45.821013
37,Approved,2024-08-30 05:00:45.821013
37,Paid,2024-12-07 05:00:45.821013
38,New,2024-08-02 20:45:49.463846
38,InReview,2024-08-04 16:45:49.463846
38,Approved,2024-08-03 20:45:49.463846
38,Paid,2024-10-24 20:45:49.463846
39,New,2024-11-14 20:31:17.655279
39,InReview,2024-11-16 02:31:17.655279
39,Approved,2024-11-23 20:31:17.655279
39,Cancelled,2025-01-31 20:31:17.655279
40,New,2025-08-06 11:20:45.633438
40,InReview,2025-08-08 08:20:45.633438
40,Approved,2025-08-08 11:20:45.633438
40,Deposit,2025-12-18 11:20:45.633438
41,New,2024-12-05 20:04:10.736679
41,InReview,2024-12-07 02:04:10.736679
41,Approved,2024-12-10 20:04:10.736679
41,Paid,2025-04-09 20:04:10.736679
42,New,2024-04-14 01:52:53.244672
42,InReview,2024-04-14 17:52:53.244672
