credit_id,user_id,role,message_time,message
1,11,AM,2025-06-03 16:22:24.939185,Requesting credit of $583.37 for seller 80
1,4,SAM,2025-06-04 23:22:24.939185,Approved
2,1,AM,2024-12-21 16:49:42.566296,Requesting credit of $608.3 for seller 83
2,1,SAM,2024-12-23 03:49:42.566296,Approved
3,17,AM,2025-01-03 00:56:41.472197,Requesting credit of $519.35 for seller 204
3,5,SAM,2025-01-04 07:56:41.472197,Approved
4,7,AM,2024-01-29 15:58:19.015218,Requesting credit of $255.76 for seller 111
4,1,SAM,2024-01-31 01:58:19.015218,Approved
5,6,AM,2024-08-08 03:24:43.329912,Requesting credit of $264.77 for seller 47
5,2,SAM,2024-08-08 12:24:43.329912,Approved
6,8,AM,2025-06-19 22:16:31.854517,Requesting credit of $322.93 for seller 79
6,5,SAM,2025-06-20 23:16:31.854517,Rejected
7,11,AM,2023-12-31 07:31:32.960639,Requesting credit of $468.48 for seller 31
7,4,SAM,2024-01-01 08:31:32.960639,Approved
8,4,AM,2024-09-05 15:10:18.681785,Requesting credit of $782.92 for seller 203
8,2,SAM,2024-09-06 07:10:18.681785,Rejected
9,17,AM,2025-04-12 22:45:16.154597,Requesting credit of $669.92 for seller 58
9,5,SAM,2025-04-14 19:45:16.154597,Approved
10,4,AM,2024-10-18 05:11:17.540950,Requesting credit of $668.38 for seller 97
10,2,SAM,2024-10-20 05:11:17.540950,Approved
11,8,AM,2024-08-21 19:07:40.377483,Requesting credit of $599.88 for seller 244
11,5,SAM,2024-08-23 02:07:40.377483,Approved
12,10,AM,2025-08-20 18:22:30.459384,Requesting credit of $595.71 for seller 75
12,5,SAM,2025-08-21 14:22:30.459384,Approved
13,9,AM,2024-10-13 14:23:00.305190,Requesting credit of $593.63 for seller 6
13,1,SAM,2024-10-14 06:23:00.305190,Approved
14,5,AM,2024-08-02 04:27:22.244100,Requesting credit of $219.07 for seller 71
14,2,SAM,2024-08-02 14:27:22.244100,Approved
15,8,AM,2024-11-22 00:30:41.790924,Requesting credit of $588.86 for seller 287
15,5,SAM,2024-11-22 12:30:41.790924,Approved
16,1,AM,2025-06-26 01:59:36.284743,Requesting credit of $621.04 for seller 284
16,1,SAM,2025-06-26 11:59:36.284743,Approved
17,12,AM,2024-01-05 19:07:32.219901,Requesting credit of $452.01 for seller 170
17,1,SAM,2024-01-06 02:07:32.219901,Approved
18,14,AM,2024-07-02 17:42:13.927813,Requesting credit of $476.54 for seller 94
18,1,SAM,2024-07-03 01:42:13.927813,Approved
19,13,AM,2024-11-10 21:28:43.144472,Requesting credit of $417.5 for seller 228
19,1,SAM,2024-11-11 06:28:43.144472,Approved
20,19,AM,2024-08-17 06:26:35.282554,Requesting credit of $353.21 for seller 227
20,1,SAM,2024-08-18 00:26:35.282554,Approved
21,9,AM,2024-08-26 16:36:06.131820,Requesting credit of $216.26 for seller 247
21,1,SAM,2024-08-27 23:36:06.131820,Approved
22,11,AM,2024-08-10 01:53:17.801265,Requesting credit of $268.38 for seller 31
22,4,SAM,2024-08-11 21:53:17.801265,Approved
23,6,AM,2024-11-09 09:11:39.646101,Requesting credit of $606.27 for seller 218
23,2,SAM,2024-11-09 23:11:39.646101,Rejected
24,10,AM,2025-02-06 16:17:19.597127,Requesting credit of $680.32 for seller 295
24,5,SAM,2025-02-07 14:17:19.597127,Approved
25,6,AM,2024-08-27 17:05:49.711905,Requesting credit of $423.38 for seller 218
25,2,SAM,2024-08-29 13:05:49.711905,Approved
26,16,AM,2024-06-05 09:58:47.839861,Requesting credit of $367.86 for seller 179
26,2,SAM,2024-06-07 06:58:47.839861,Approved
27,8,AM,2024-12-27 22:55:30.331735,Requesting credit of $513.97 for seller 126
