lead_id,seller_id,created_at,amount,status,shipping_status,tracking_number
1,251,2024-05-30 06:45:31.929850,110.78,Confirmed,Shipped,TRK202405309888
2,251,2024-05-21 06:45:31.929850,50.93,Contacted,Pending,
3,189,2024-06-24 07:50:33.112800,98.33,Confirmed,Shipped,TRK202406243806
4,289,2025-02-05 21:10:59.347148,138.64,Confirmed,Shipped,TRK202502051831
5,288,2024-10-19 03:08:12.670656,20.0,Cancelled,Pending,
6,66,2024-08-15 04:08:11.208459,139.32,New,Pending,
7,275,2024-08-17 09:59:15.879258,17.03,Confirmed,Shipped,TRK202408178304
8,151,2024-08-29 00:27:43.610757,90.3,Confirmed,Shipped,TRK202408299740
9,205,2025-05-08 01:03:21.171865,38.36,Confirmed,Pending,TRK202505088672
10,240,2025-01-05 19:37:41.877040,117.6,Confirmed,Delivered,TRK202501058625
11,198,2025-04-08 11:14:22.566515,127.8,Contacted,Pending,
12,112,2025-04-10 07:58:57.743902,149.97,Contacted,Pending,
13,199,2025-01-09 11:43:35.027874,77.03,Confirmed,Delivered,TRK202501096320
14,10,2024-04-25 02:31:43.302191,77.0,New,Pending,
15,292,2024-06-10 19:45:04.550667,35.21,Confirmed,Shipped,TRK202406106711
16,15,2024-01-08 04:36:49.789324,146.0,Confirmed,Shipped,TRK202401082752
17,224,2024-08-15 09:32:28.948343,40.65,Confirmed,Shipped,TRK202408157566
18,292,2024-06-02 19:45:04.550667,141.01,Confirmed,Shipped,TRK202406028903
19,53,2024-04-12 08:05:02.058286,76.83,Contacted,Pending,
20,9,2025-03-13 08:21:22.005904,47.03,Confirmed,Shipped,TRK202503136606
21,17,2024-07-05 06:20:25.121927,78.33,Contacted,Pending,
22,52,2024-06-06 01:17:34.248923,139.85,Confirmed,Shipped,TRK202406068584
23,50,2024-05-29 20:59:59.956821,128.86,Confirmed,Shipped,TRK202405297648
24,293,2025-08-27 18:44:10.127942,45.85,Confirmed,Shipped,TRK202508277208
25,149,2024-03-17 21:53:20.020221,22.73,New,Pending,
26,277,2024-03-25 15:32:59.063681,54.63,Confirmed,Returned,TRK202403251003
27,148,2025-03-16 00:32:25.521182,143.52,Confirmed,Shipped,TRK202503165775
28,128,2024-10-06 02:21:50.473759,78.63,Confirmed,Shipped,TRK202410066187
29,128,2024-09-27 02:21:50.473759,94.45,Cancelled,Pending,
30,291,2025-06-02 00:14:13.978029,129.23,Confirmed,Returned,TRK202506022462
31,273,2024-02-10 00:48:04.904062,106.1,Cancelled,Pending,
32,129,2024-11-12 00:38:45.563948,130.42,Confirmed,Shipped,TRK202411125819
33,116,2025-08-22 14:43:05.252231,88.08,Cancelled,Pending,
34,124,2024-12-29 00:41:36.327893,97.0,Confirmed,Shipped,TRK202412295623
35,286,2024-07-18 06:51:02.202746,108.61,Contacted,Pending,
36,250,2024-09-28 08:53:57.498716,56.88,Confirmed,Shipped,TRK202409287271
37,149,2024-03-29 21:53:20.020221,70.38,Confirmed,Delivered,TRK202403298780
38,210,2025-09-11 08:17:12.514443,75.14,Confirmed,Returned,TRK202509117835
39,156,2025-05-05 01:59:27.325424,75.76,Contacted,Pending,
40,192,2025-08-01 21:38:40.910387,17.22,Contacted,Pending,
41,22,2025-05-22 17:38:30.734181,87.17,Confirmed,Returned,TRK202505223224
42,193,2024-06-08 11:08:05.236043,130.03,Confirmed,Delivered,TRK202406087974
43,103,2025-08-10 01:44:47.906606,51.71,Confirmed,Shipped,TRK202508108373
44,256,2024-04-06 00:41:30.822400,28.69,Contacted,Pending,
45,131,2025-03-27 09:21:01.198422,125.08,Confirmed,Delivered,TRK202503279220
46,92,2025-06-28 19:11:02.993787,127.39,Confirmed,Pending,TRK202506281620
47,6,2024-03-16 18:07:20.973502,44.97,Contacted,Pending,
48,300,2024-04-27 00:04:14.504668,99.26,Contacted,Pending,
49,296,2024-07-28 11:37:51.864411,48.97,Cancelled,Pending,
50,195,2025-04-16 15:27:39.036516,63.09,Confirmed,Shipped,TRK202504162281
51,112,2024-09-29 08:15:06.816266,33.52,New,Pending,
52,251,2024-10-07 22:34:16.438767,85.32,Confirmed,Shipped,TRK202410076119
53,139,2025-01-17 05:58:00.041115,14.35,Confirmed,Pending,TRK202501178438
54,159,2024-03-02 05:26:55.783948,99.66,Confirmed,Shipped,TRK202403026782
55,254,2024-09-29 04:29:06.187904,130.35,Confirmed,Shipped,TRK202409291578
56,124,2025-01-04 20:56:16.009748,69.85,Confirmed,Delivered,TRK202501045267
57,142,2025-02-24 09:14:50.941988,125.44,Confirmed,Shipped,TRK202502245780
58,105,2025-08-14 05:49:26.331864,58.79,Confirmed,Shipped,TRK202508142351
59,59,2025-02-20 00:58:05.590068,123.65,Confirmed,Shipped,TRK202502203171
60,190,2025-01-25 14:11:30.349643,75.1,Confirmed,Pending,TRK202501252827
61,261,2025-06-30 00:10:38.070213,14.03,Confirmed,Returned,TRK202506303476
62,192,2025-01-10 20:59:50.749578,45.97,Confirmed,Shipped,TRK202501104869
63,122,2024-12-17 04:06:41.028220,138.47,Confirmed,Shipped,TRK202412172382
64,172,2024-04-15 10:11:45.645279,81.94,Confirmed,Delivered,TRK202404159125
65,265,2024-04-19 00:08:04.335400,77.21,Confirmed,Shipped,TRK202404198211
66,58,2025-06-19 15:13:20.455577,140.91,Contacted,Pending,
67,146,2024-05-24 08:37:29.822236,109.76,New,Pending,
68,219,2025-06-02 04:05:16.945346,49.92,New,Pending,
69,274,2024-09-10 08:20:56.850129,83.08,Confirmed,Delivered,TRK202409109724
70,113,2024-08-02 07:52:15.530111,88.48,Confirmed,Shipped,TRK202408028122
71,291,2024-07-24 10:30:19.140710,13.27,Confirmed,Shipped,TRK202407249687
72,27,2025-03-30 05:56:22.488771,88.98,New,Pending,
73,40,2024-07-11 17:18:10.804665,61.93,Cancelled,Pending,
74,198,2025-04-09 11:14:22.566515,52.14,Confirmed,Shipped,TRK202504092610
75,292,2024-06-13 19:45:04.550667,60.22,Confirmed,Delivered,TRK202406134961
76,226,2025-01-20 18:06:48.146160,142.89,Confirmed,Shipped,TRK202501206528
77,281,2025-06-26 00:30:14.730111,51.59,Confirmed,Pending,TRK202506261138
78,255,2024-08-25 21:47:16.393817,104.85,New,Pending,
79,165,2025-02-20 22:14:05.611425,133.09,Confirmed,Shipped,TRK202502205641
80,41,2024-04-13 07:52:14.035738,33.91,New,Pending,
81,59,2025-03-09 00:58:05.590068,61.19,Confirmed,Delivered,TRK202503092995
82,130,2024-02-04 01:47:16.879797,46.14,Contacted,Pending,
83,17,2024-04-26 00:44:52.692779,89.91,Contacted,Pending,
84,40,2024-07-18 17:18:10.804665,89.43,Confirmed,Shipped,TRK202407182816
85,275,2024-08-20 19:44:30.122458,98.46,Confirmed,Shipped,TRK202408208650
86,273,2024-10-06 08:24:43.123878,143.43,Confirmed,Returned,TRK202410065528
87,133,2025-07-31 09:09:25.245328,97.72,Confirmed,Delivered,TRK202507316298
88,220,2024-02-06 13:34:50.754782,78.63,Contacted,Pending,
89,24,2025-07-13 01:36:04.528511,11.09,New,Pending,
90,283,2024-09-20 21:39:28.037601,86.71,Contacted,Pending,
91,174,2025-02-06 11:58:32.275948,61.44,Contacted,Pending,
92,167,2025-01-04 01:44:51.219613,33.76,Confirmed,Shipped,TRK202501049061
93,240,2025-01-13 19:37:41.877040,148.94,Confirmed,Shipped,TRK202501132740
94,53,2024-09-03 20:19:32.536531,54.96,Confirmed,Shipped,TRK202409032194
95,116,2025-08-13 14:43:05.252231,71.26,Confirmed,Pending,TRK202508139154
96,17,2024-12-28 15:45:11.456224,90.12,Cancelled,Pending,
97,290,2025-08-20 04:22:27.665975,98.89,Contacted,Pending,
98,206,2025-03-10 08:27:27.011168,117.84,Confirmed,Shipped,TRK202503109039
99,270,2024-05-16 01:39:15.704541,31.68,Confirmed,Delivered,TRK202405162148
100,43,2025-07-30 17:33:03.691189,33.16,Confirmed,Delivered,TRK202507308898
101,19,2024-10-03 23:27:58.705439,68.8,Cancelled,Pending,
102,23,2025-04-09 15:06:34.870305,121.86,Confirmed,Delivered,TRK202504092485
103,43,2025-08-09 17:33:03.691189,62.73,New,Pending,
104,282,2024-06-29 16:33:16.195152,114.16,Confirmed,Shipped,TRK202406291644
105,66,2025-04-02 16:50:53.310180,23.81,Confirmed,Shipped,TRK202504027391
106,91,2024-12-24 01:52:47.265002,142.05,Confirmed,Shipped,TRK202412242390
107,262,2025-07-30 14:30:21.427374,77.13,Confirmed,Shipped,TRK202507301584
108,245,2024-11-05 06:00:54.165811,66.81,Contacted,Pending,
109,277,2025-01-07 02:11:29.704428,70.19,Confirmed,Shipped,TRK202501078361
110,52,2024-01-04 08:02:03.985579,38.28,New,Pending,
111,82,2025-08-16 08:59:38.609854,70.77,Confirmed,Pending,TRK202508162936
112,160,2024-12-23 06:49:28.271822,48.33,Contacted,Pending,
113,299,2024-07-17 02:09:20.184855,42.29,Confirmed,Delivered,TRK202407179791
114,77,2024-03-11 00:54:41.085396,84.71,Contacted,Pending,
115,2,2025-04-27 18:23:41.889888,30.07,Confirmed,Pending,TRK202504271750
116,77,2024-02-26 00:54:41.085396,109.16,New,Pending,
