invoice_id,item_type,amount
1_20240101,sales,0.0
1_20240101,fees,-0.0
1_20240101,credits_due,-0.0
1_20240101,from_balance,186.17
1_20240101,total,0.0
1_20240108,sales,0.0
1_20240108,fees,-0.0
1_20240108,credits_due,-0.0
1_20240108,from_balance,186.17
1_20240108,total,0.0
1_20240115,sales,0.0
1_20240115,fees,-0.0
1_20240115,credits_due,-0.0
1_20240115,from_balance,186.17
1_20240115,total,0.0
1_20240122,sales,0.0
1_20240122,fees,-0.0
1_20240122,credits_due,-0.0
1_20240122,from_balance,186.17
1_20240122,total,0.0
1_20240129,sales,26.84
1_20240129,fees,-5.32
1_20240129,credits_due,-0.0
1_20240129,from_balance,186.17
1_20240129,total,21.52
1_20240205,sales,0.0
1_20240205,fees,-0.0
1_20240205,credits_due,-0.0
1_20240205,from_balance,207.69
1_20240205,total,0.0
1_20240212,sales,0.0
1_20240212,fees,-0.0
1_20240212,credits_due,-0.0
1_20240212,from_balance,207.69
1_20240212,total,0.0
1_20240219,sales,249.07998
1_20240219,fees,-79.42
1_20240219,credits_due,-0.0
1_20240219,from_balance,207.69
1_20240219,total,169.65997
1_20240226,sales,309.61
1_20240226,fees,-33.88
1_20240226,credits_due,-0.0
1_20240226,from_balance,377.34997
1_20240226,total,275.73
1_20240304,sales,211.4
1_20240304,fees,-60.88
1_20240304,credits_due,-0.0
1_20240304,from_balance,653.0799
1_20240304,total,150.52
1_20240311,sales,0.0
1_20240311,fees,-0.0
1_20240311,credits_due,-0.0
1_20240311,from_balance,803.5999
1_20240311,total,0.0
1_20240318,sales,0.0
1_20240318,fees,-0.0
1_20240318,credits_due,-0.0
1_20240318,from_balance,803.5999
1_20240318,total,0.0
1_20240325,sales,0.0
1_20240325,fees,-0.0
1_20240325,credits_due,-0.0
1_20240325,from_balance,803.5999
1_20240325,total,0.0
1_20240401,sales,0.0
1_20240401,fees,-0.0
1_20240401,credits_due,-0.0
1_20240401,from_balance,803.5999
1_20240401,total,0.0
1_20240408,sales,0.0
1_20240408,fees,-0.0
1_20240408,credits_due,-0.0
1_20240408,from_balance,803.5999
1_20240408,total,0.0
1_20240415,sales,0.0
1_20240415,fees,-0.0
1_20240415,credits_due,-0.0
1_20240415,from_balance,803.5999
1_20240415,total,0.0
1_20240422,sales,0.0
1_20240422,fees,-0.0
1_20240422,credits_due,-0.0
1_20240422,from_balance,803.5999
1_20240422,total,0.0
1_20240429,sales,0.0
1_20240429,fees,-0.0
1_20240429,credits_due,-563.79
1_20240429,from_balance,803.5999
1_20240429,total,-563.79
1_20240506,sales,286.63
1_20240506,fees,-30.47
1_20240506,credits_due,-0.0
1_20240506,from_balance,239.80995
1_20240506,total,256.15997
1_20240513,sales,265.87
1_20240513,fees,-64.8
1_20240513,credits_due,-0.0
1_20240513,from_balance,495.9699
1_20240513,total,201.07
1_20240520,sales,324.36
1_20240520,fees,-80.76
1_20240520,credits_due,-0.0
1_20240520,from_balance,697.04
1_20240520,total,243.60000000000002
1_20240527,sales,0.0
1_20240527,fees,-0.0
1_20240527,credits_due,-0.0
1_20240527,from_balance,940.64
1_20240527,total,0.0
1_20240603,sales,0.0
1_20240603,fees,-0.0
1_20240603,credits_due,-0.0
1_20240603,from_balance,940.64
1_20240603,total,0.0
1_20240610,sales,0.0
1_20240610,fees,-0.0
1_20240610,credits_due,-0.0
1_20240610,from_balance,940.64
1_20240610,total,0.0
1_20240617,sales,0.0
1_20240617,fees,-0.0
1_20240617,credits_due,-0.0
1_20240617,from_balance,940.64
1_20240617,total,0.0
1_20240624,sales,0.0
1_20240624,fees,-0.0
