invoice_id,seller_id,period_start,period_end,sales_amount,fees,credits_due,from_balance,total
1_20240101,1,2024-01-01,2024-01-07,0.0,0.0,0.0,186.17,0.0
1_20240108,1,2024-01-08,2024-01-14,0.0,0.0,0.0,186.17,0.0
1_20240115,1,2024-01-15,2024-01-21,0.0,0.0,0.0,186.17,0.0
1_20240122,1,2024-01-22,2024-01-28,0.0,0.0,0.0,186.17,0.0
1_20240129,1,2024-01-29,2024-02-04,26.84,5.32,0.0,186.17,21.52
1_20240205,1,2024-02-05,2024-02-11,0.0,0.0,0.0,207.69,0.0
1_20240212,1,2024-02-12,2024-02-18,0.0,0.0,0.0,207.69,0.0
1_20240219,1,2024-02-19,2024-02-25,249.0798,79.42,0.0,207.69,169.6597
1_20240226,1,2024-02-26,2024-03-03,309.61,33.88,0.0,377.3497,275.73
1_20240304,1,2024-03-04,2024-03-10,211.4,60.88,0.0,653.079,150.52
1_20240311,1,2024-03-11,2024-03-17,0.0,0.0,0.0,803.599,0.0
1_20240318,1,2024-03-18,2024-03-24,0.0,0.0,0.0,803.599,0.0
1_20240325,1,2024-03-25,2024-03-31,0.0,0.0,0.0,803.599,0.0
1_20240401,1,2024-04-01,2024-04-07,0.0,0.0,0.0,803.599,0.0
1_20240408,1,2024-04-08,2024-04-14,0.0,0.0,0.0,803.599,0.0
1_20240415,1,2024-04-15,2024-04-21,0.0,0.0,0.0,803.599,0.0
1_20240422,1,2024-04-22,2024-04-28,0.0,0.0,0.0,803.599,0.0
1_20240429,1,2024-04-29,2024-05-05,0.0,0.0,563.79,803.599,-563.79
1_20240506,1,2024-05-06,2024-05-12,286.63,30.47,0.0,239.8095,256.1597
1_20240513,1,2024-05-13,2024-05-19,265.87,64.8,0.0,495.969,201.07
1_20240520,1,2024-05-20,2024-05-26,324.36,80.76,0.0,697.04,243.6002
1_20240527,1,2024-05-27,2024-06-02,0.0,0.0,0.0,940.64,0.0
1_20240603,1,2024-06-03,2024-06-09,0.0,0.0,0.0,940.64,0.0
1_20240610,1,2024-06-10,2024-06-16,0.0,0.0,0.0,940.64,0.0
1_20240617,1,2024-06-17,2024-06-23,0.0,0.0,0.0,940.64,0.0
1_20240624,1,2024-06-24,2024-06-30,0.0,0.0,0.0,940.64,0.0
1_20240701,1,2024-07-01,2024-07-07,0.0,0.0,0.0,940.64,0.0
1_20240708,1,2024-07-08,2024-07-14,0.0,0.0,348.79,940.64,-348.79
1_20240715,1,2024-07-15,2024-07-21,0.0,0.0,0.0,591.849,0.0
1_20240722,1,2024-07-22,2024-07-28,0.0,0.0,0.0,591.849,0.0
1_20240729,1,2024-07-29,2024-08-04,0.0,0.0,0.0,591.849,0.0
1_20240805,1,2024-08-05,2024-08-11,0.0,0.0,0.0,591.849,0.0
1_20240812,1,2024-08-12,2024-08-18,0.0,0.0,0.0,591.849,0.0
1_20240819,1,2024-08-19,2024-08-25,0.0,0.0,0.0,591.849,0.0
1_20240826,1,2024-08-26,2024-09-01,61.16,19.45,0.0,591.849,41.70994
1_20240902,1,2024-09-02,2024-09-08,70.29,12.73,0.0,633.56,57.56
1_20240909,1,2024-09-09,2024-09-15,0.0,0.0,0.0,691.119,0.0
1_20240916,1,2024-09-16,2024-09-22,0.0,0.0,0.0,691.119,0.0
1_20240923,1,2024-09-23,2024-09-29,0.0,0.0,0.0,691.119,0.0
1_20240930,1,2024-09-30,2024-10-06,0.0,0.0,0.0,691.119,0.0
1_20241007,1,2024-10-07,2024-10-13,0.0,0.0,0.0,691.119,0.0
1_20241014,1,2024-10-14,2024-10-20,0.0,0.0,0.0,691.119,0.0
1_20241021,1,2024-10-21,2024-10-27,0.0,0.0,0.0,691.119,0.0
1_20241028,1,2024-10-28,2024-11-03,0.0,0.0,0.0,691.119,0.0
1_20241104,1,2024-11-04,2024-11-10,0.0,0.0,0.0,691.119,0.0
1_20241111,1,2024-11-11,2024-11-17,0.0,0.0,0.0,691.119,0.0
1_20241118,1,2024-11-18,2024-11-24,0.0,0.0,0.0,691.119,0.0
1_20241125,1,2024-11-25,2024-12-01,135.53,15.46,0.0,691.119,120.07
1_20241202,1,2024-12-02,2024-12-08,0.0,0.0,0.0,811.18998,0.0
1_20241209,1,2024-12-09,2024-12-15,0.0,0.0,0.0,811.18998,0.0
1_20241216,1,2024-12-16,2024-12-22,0.0,0.0,0.0,811.18998,0.0
1_20241223,1,2024-12-23,2024-12-29,0.0,0.0,0.0,811.18998,0.0
1_20241230,1,2024-12-30,2025-01-05,0.0,0.0,0.0,811.18998,0.0
1_20250106,1,2025-01-06,2025-01-12,0.0,0.0,0.0,811.18998,0.0
1_20250113,1,2025-01-13,2025-01-19,0.0,0.0,0.0,811.18998,0.0
